fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-7.16,-76.69,144,4.9,II Juanjui,04 Km al NE de Juanjui (San Martin),
,,-12.6,-77.37,39,3.8,II Lima,65 Km al Sur SO del Callao,
,,-9.74,-78.73,36,4.6,II-III Casma,56 Km al Oeste SO de Casma,
,,-8.05,-74.48,182,5,II Pucallpa,36 Km al Norte de Pucallpa,
,,-6.46,-79.94,64,4,II Ferreñafe,26 Km NO de Ferreñafe (Lambayeque),
,,-7.12,-78.56,10,4.5,III-IV Cajamarca,06 Km al Oeste NO de Cajamarca,
,,-6.73,-77.18,21,4.7,"II-III Mendoza, Saposoa",55 Km al Sur-SE de Mendoza,
,,-13.26,-69.71,123,5,II-III Puerto Maldonado,95 Km al SO de Puerto Maldonado,
,,-16.11,-71.97,19,4.3,II Cabanaconde,55 Km al Sur de Cabanaconde,
,,-4.52,-77.81,12,4.1,II Santa María de Nieva,9 Km al NE de Santa María de Nieva,
,,-6.75,-77.18,11,4.9,II-III Saposoa,50 Km al Oeste NO de Saposoa,
,,-15.78,-71.84,9,3.9,"II Pinchollo, Maca",15 Km al Sur de Pinchollo,
,,-15.66,-72.15,13,4,II-III Huambo,9 Km al Norte NO de Huambo,
,,-16.47,-72.74,58,4.3,II Camaná,16 Km al NO de Camaná,
,,-10.02,-75.72,17,4.5,II-III Pozuzo,23 Km al O-NO de Pozuzo,
,,-16.1,-71.98,12,4.1,II Yura,37 Km al O-NO de Yura,
,,-17.92,-70.88,49,4.7,"II-III Tacna, Moquegua, Ilo",68 Km al Oeste de Tacna,
,,-19.38,-70.31,44,5.4,"II-III Tacna II Moquegua, Arequipa",152 Km al Sur de Tacna,
,,-16.41,-73.59,8,5,"III-IV Atico III Ocoña, Caraveli, Camana, Yauca II Mollendo, Cotahuasi",23 Km al Sur de Atico,
,,-15.65,-72.14,12,4.2,II-III Huambo II Cabanaconde,9 Km al Norte NO de Huambo,
,,-3.92,-81.23,33,4.5,II Mancora,30 Km al NO de Mancora,
,,-6.03,-75.14,47,4.3,II Yurimaguas,108 KM al Este de Yurimaguas,
,,-8.2,-74.46,169,5.1,II-III Pucallpa II Curimana,20 Km al NE de Pucallpa,
,,-14.05,-73.01,115,5.3,"III-IV Chuquibambilla III Andahuaylas, Abancay II Cusco",33 Km al Oeste de Chuquibambilla,
,,-4.34,-78.01,33,4.1,II Santa Maria de Nieva,31 Km al NO de Santa Maria de Nieva,
,,-15.97,-74.16,61,5.1,"IV Chala, III-IV Yauca; III Caraveli; II San Juan de Marcona; II Nazca; II Ocoña",16 Km al S-SE de Chala,
,,-12.56,-77.29,31,4,II-III Callao,58 km al Sur-SO de Callao,
,,-5.93,-76.69,101,4.7,"III-IV Moyobamba, II-III Rioja",33 Km al Este-NE de Moyobamba,
,,-16.74,-72.44,48,4.5,"II-III Quilca, Mollendo, Camana II Aplao, Punta de Bombon, Arequipa",4 Km al SO de Quilca,
