fecha,hora,latitud,longitud,profundidad,magnitud,intensidad,referencia,reporte_acelerometrico_pdf
,,-5.65,-77.08,41,4.9,"IV Nueva Cajamarca; III Moyobamba, Jumbilla, Mendoza; II Lamas, Chachapoyas",41 km al Nor-Este de Nueva Cajamarca,https://www.igp.gob.pe/servicios/api-acelerometrica/ran/file/20190001_20190103_211148.pdf
,,-2.95,-76.47,140,4.7,,"10 km al Oeste-SO de Pastaza, Alto Amazonas - Loreto",
,,-7.79,-71.24,517,7,"IV Esperanza, Pucallpa; III Aguaytia, Pasco; II Huanuco, Oxapampa, Satipo, Chanchamayo, Yurimaguas, Huancayo, Cusco, Arequipa","229 km N-NO de Esperanza, Purus - Ucayali.",
,,-16.14,-73.11,39,3.9,II Ocoña,"32 km al N de Ocoña, Camana - Arequipa",
,,-15.28,-70.98,10,5,"V Ocuviri; IV Umachiri, Condoroma; III Huayhuahuasi, Ayaviri, Lampa; II Puno","14 km al S-SO de Ocuviri, Lampa - Puno",
,,-12.45,-75.38,103,4,,"17 km al Sur-Oeste de Huasicancha, Huancayo - Junin",
,,-4.83,-80.58,55,4,,"14 km al Este-NE de Sullana, Sullana - Piura",
,,-19.82,-70.05,101,4.9,II-III Tacna,"202 km al Sur de Tacna, Tacna - Tacna",
,,-10.68,-78.52,46,4.7,"III Huarmey; II Barranca, Puerto Supe, Casma, Huacho","79 km al Sur-SO de Huarmey, Huarmey - Ancash",
,,-19.93,-69.62,116,5.1,II-III Tacna,223 km al Sur-SE de Tacna,
,,-15.29,-70.94,23,3.8,II Ocuviri,"14 km al S de Ocuviri, Lampa - Puno",
,,-15.26,-70.95,17,3.3,II Ocuviri,11 km al S-SO de Ocuviri,
,,-14.62,-75.53,35,4.1,,"39 km al Oeste-SO de Palpa, Palpa - Ica",
,,-9.48,-75.87,127,4,,"26 km al Sur-Este de Tingo Maria, Leoncio Prado - Huanuco",
,,-4.7,-74.13,19,5.8,"V Nauta, III-IV Iquitos","66 km al Oeste-SO de Nauta, Loreto - Loreto",
,,-4.59,-74.18,10,4.4,,"68 km  al Oeste de Nauta, Loreto - Loreto",
,,-11.99,-75.63,10,3.9,III Jauja,"30 km al Sur-SO de Jauja, Jauja - Junin",
,,-9.92,-78.9,37,4.5,"II Casma, Chimbote, Huarmey","83 km al SO de Casma, Casma - Ancash",
,,-15.3,-70.96,12,4,III Ocuviri,"16 km al Sur-SO de Ocuviri, Lampa-Puno",
,,-15.23,-70.92,15,3.6,II Ocuviri,"07 km al Sur de Ocuviri, Lampa-Puno",
,,-15.2,-70.91,14,3.3,II Ocuviri,"03 km al Sur-SE de Ocuviri, Lampa-Puno",
,,-15.26,-70.94,16,3.3,II Ocuviri,"11 km al Sur-SO de Ocuviri, Lampa - Puno",
,,-3.16,-80.35,133,4,,"38 km al Norte-NO de Zarumilla, Zarumilla-Tumbes",
,,-14.73,-73.5,13,3.6,II-III Pampamarca,"20 km al Sur-SE de Pampamarca, Parinacochas - Ayacucho",
,,-14.75,-73.49,13,3.4,II Pampamarca,"22 km al Sur de Pampamarca, Parinacochas - Ayacucho",
,,-15.66,-71.92,12,3.5,II Cabanaconde,"7 km al Este-SE de Cabanaconde, Caylloma - Arequipa",
,,-15.94,-71.93,135,4.3,,"19 km al Sur-SO de Volcan Sabancaya, Caylloma - Arequipa",
,,-13.29,-76.48,57,4.1,"II San Vicente de Cañete, Chincha","26 km al Sur-SO de San Vicente de Cañete, Cañete - Lima",
,,-14.86,-72,12,3.8,"II Santo Tomas, Huayhuahuasi","46 km al Sur-SE de Santo Tomas, Chumbivilcas - Cusco",
,,-14.87,-72.32,125,4,,"53 km al Sur-SO de Santo Tomás, Chumbivilcas-Cusco",
,,-17.74,-70.6,80,4.3,II Locumba,"22 km al Sur-Este de Locumba, Jorge Basadre-Tacna",
,,-9.18,-79.48,29,5.1,"IV Chimbote; III Trujillo, Salaverry, Samanco, Casma, Ascope; II Huarmey, Yungay","98 km al Oeste de Chimbote, Santa - Ancash",
,,-3.33,-76.93,139,5.8,"III Pastaza, II Sta María de Nieva","76 km al SO de Pastaza, Alto amazonas - Loreto",
